iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	460.2319	KEEP	baseline	cuBLAS reference baseline
iter001	iter001_base_blockscale	138.49	DISCARD	memory_bound	Initial naive blockscale with per-subblock loads
iter002	iter002_fused_scale	174.91	DISCARD	memory_bound	Fused scale application single load per tile
iter008	iter008_large_tiles	190.89	KEEP	memory_bound	Large 256x128x64 tiles with row/col scale
iter012	iter012_bm256bn128s4w16	196.63	KEEP	compute_bound	256x128 tiles with 4 stages and 16 warps
iter014	iter014_bk128w16s3	232.88	KEEP	compute_bound	256x128 with BLOCK_K=128 for larger K-tile
iter015	iter015_bk128w8s3	228.02	DISCARD	compute_bound	256x128 bk128 with 8 warps 3 stages
iter016	iter016_gm4	230.23	DISCARD	compute_bound	GROUP_M=4 variant
iter017	iter017_evict_first	0.0	COMPILE_FAIL	compute_bound	evict_first policy causes FP8 verification failure
iter018	iter018_evict_last	0.0	COMPILE_FAIL	compute_bound	evict_last policy causes FP8 verification failure
iter019	iter019_nomask	0.0	COMPILE_FAIL	compute_bound	no-mask version fails verification
iter020	iter020_num_ctas	0.0	COMPILE_FAIL	compute_bound	num_ctas parameter causes verification failure
iter021	iter021_splitk	0.0	COMPILE_FAIL	compute_bound	split-K has scaling correctness issue
iter024	iter024_stg2	208.08	DISCARD	pipeline_bound	2-stage pipeline variant vs 3-stage baseline
iter025	iter025_swaptile	71.26	DISCARD	memory_bound	swapped 128x256 tile dimension
iter026	iter026_bigtile	0.0	COMPILE_FAIL	unknown	256x256 tile too big - register spill
iter027	iter027_bk64s4	196.61	DISCARD	compute_bound	smaller BLOCK_K=64 with 4 stages
iter028	iter028_smalltile	104.67	DISCARD	compute_bound	128x128 tile for more CTAs
iter029	iter029_gm16	228.09	DISCARD	compute_bound	GROUP_M=16 for larger swizzle
iter030	iter030_s5	230.69	DISCARD	compute_bound	5 stages for deeper pipeline
iter031	iter031_w32	217.58	DISCARD	compute_bound	32 warps for more parallelism
iter032	iter032_bk256	233.28	KEEP	compute_bound	BLOCK_K=256 for larger K-tile
iter033	iter033_bk256s3	242.20	KEEP	compute_bound	BLOCK_K=256 with 3 stages
iter034	iter034_bk256w8	236.56	DISCARD	compute_bound	BLOCK_K=256 with 8 warps
iter035	iter035_smallbk256	143.48	DISCARD	compute_bound	128x128 tile with BLOCK_K=256
iter036	iter036_asymbk256	82.17	DISCARD	memory_bound	128x256 tile with BLOCK_K=256
iter037	iter037_bk256s4	0.0	COMPILE_FAIL	unknown	BLOCK_K=256 with 4 stages exceeds smem
iter038	iter038_bk256gm4	243.99	KEEP	compute_bound	BLOCK_K=256 GROUP_M=4
iter039	iter039_bk256w8	244.29	KEEP	compute_bound	BLOCK_K=256 8 warps 3 stages
iter040	iter040_bk256gm16	229.90	DISCARD	memory_bound	BLOCK_K=256 GROUP_M=16
iter041	iter041_w8gm4	244.38	DISCARD	compute_bound	8 warps + GROUP_M=4
iter042	iter042_w4	156.52	DISCARD	compute_bound	4 warps too few
iter044	iter044_w12	0.0	COMPILE_FAIL	unknown	12 warps compilation error
iter043	iter043_narrowtile	295.84	KEEP	compute_bound	256x64 tile with BLOCK_K=256
