iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	415.6494	KEEP	baseline	cuBLAS reference baseline
iter001	iter001_baseline_tcore	316.84	KEEP	memory_bound	Baseline TileLang matmul with tensor cores: 128x128x64 tiles, 3 stages, panel_si
iter002	iter002_blockn192	335.55	KEEP	compute_bound	Increase BLOCK_N to 192 for better compute intensity
iter003	iter003_blockk128	0	COMPILE_FAIL	compute_bound	BLOCK_K=128 exceeded shared memory limit
iter004	iter004_blockk128_s2	343.47	KEEP	compute_bound	BLOCK_K=128 with stages=2 to fit shared memory
iter005	iter005_panel10	341.19	DISCARD	compute_bound	Increase panel_size to 10 for L2 locality
iter006	iter006_panel6	342.46	DISCARD	compute_bound	panel_size=6 for different L2 pattern
iter007	iter007_blockm256	89.13	DISCARD	compute_bound	BLOCK_M=256 caused severe occupancy drop
iter008	iter008_blockn256	259.41	DISCARD	compute_bound	64x256x64 too small BLOCK_M hurts perf
iter009	iter009_threads256	267.91	DISCARD	compute_bound	threads=256 caused register pressure
iter010	iter010_stages4	312.44	DISCARD	compute_bound	stages=4 with BLOCK_K=64 increases overhead
iter011	iter011_b128x256	54.92	DISCARD	compute_bound	128x256 severe occupancy drop
iter012	iter012_blockk96	338.11	DISCARD	compute_bound	BLOCK_K=96 less efficient than 128
iter013	iter013_b96x192	0	COMPILE_FAIL	compute_bound	BLOCK_M=96 not divisible by 16 for WGMMA
iter014	iter014_b64x192k128	232.92	DISCARD	compute_bound	64x192x128 insufficient compute density
iter015	iter015_b128x160	274.24	DISCARD	compute_bound	BLOCK_N=160 causes grid inefficiency
iter016	iter016_b128x224	154.46	DISCARD	compute_bound	128x224 severe occupancy drop
iter017	iter017_panel4	318.85	DISCARD	compute_bound	panel_size=4 reduces L2 locality
iter018	iter018_b128x128k128	226.82	DISCARD	compute_bound	128x128 square tiles less efficient
iter019	iter019_noswizzle	141.76	DISCARD	memory_bound	No swizzle hurts L2 locality badly
iter020	iter020_b64x192s4	252.47	DISCARD	compute_bound	64x192 with stages=4 insufficient compute density
iter021	iter021_panel9	211.38	DISCARD	memory_bound	panel_size=9 worsens L2 locality
iter022	iter022_b192x192	131.52	DISCARD	compute_bound	192x192 severe occupancy drop
iter023	iter023_k64s3	336.37	DISCARD	compute_bound	BLOCK_K=64 stages=3 close but lower than k128s2
iter024	iter024_threads192	239.11	DISCARD	compute_bound	threads=192 causes work imbalance
iter025	iter025_k32s5	259.91	DISCARD	compute_bound	BLOCK_K=32 too many inner loop iterations
iter026	iter026_b128x144	164.17	DISCARD	memory_bound	BLOCK_N=144 causes TMA fallback warning
iter027	iter027_panel7	331.52	DISCARD	compute_bound	panel_size=7 less efficient than 8
iter028	iter028_b64x64s4	185.31	DISCARD	latency_bound	64x64 tiles too small causing launch overhead
iter029	iter029_b128x176	146.74	DISCARD	memory_bound	BLOCK_N=176 causes TMA fallback
iter030	iter030_panel12	340.48	DISCARD	compute_bound	panel_size=12 close but less than panel_size=8
iter031	iter031_panel16	341.77	DISCARD	compute_bound	panel_size=16 slightly worse than 8
iter032	iter032_s1	232.96	DISCARD	memory_bound	stages=1 no pipelining hurts perf significantly
iter033	iter033_bm192	321.66	DISCARD	compute_bound	192x128 transposed tiles less efficient than 128x192
iter034	iter034_k80	212.57	DISCARD	memory_bound	BLOCK_K=80 triggers TMA fallback
iter035	iter035_panel2	288.24	DISCARD	memory_bound	panel_size=2 too aggressive L2 thrashing
iter036	iter036_b64x128k64s5	233.05	DISCARD	compute_bound	64x128 small tiles high pipeline depth not enough compute density
